NOME,name,area_ha,area_km2,seca_rischidro,seca_segali,chuva_segali,segener_acesso,segener_disp,saude_malaria,saude_leishmaniose_visceral,saude_leishmaniose_tegumentar,inudacoes_des_hidro,deslizamento_des_hidro
Rio de Janeiro/RJ,PEDRA DO SAL (SACADURA CABRAL),"0,04319","0,00043191","0,72","0,51","0,16","0,38","0,35","0,38","0,72","0,63","0,67","0,62"
Rio de Janeiro/RJ,SACOPA,"0,6404","0,006403925","0,72","0,51","0,16","0,38","0,35","0,38","0,72","0,63","0,67","0,62"
Rio de Janeiro/RJ,PEDRA DO SAL (PRAINHA),"0,24709","0,002470876","0,72","0,51","0,16","0,38","0,35","0,38","0,72","0,63","0,67","0,62"
Rio de Janeiro/RJ,"SERENO, SACADURA, BAR JOAO DA BAHIANA, PRAINHA","0,36146","0,003614528","0,72","0,51","0,16","0,38","0,35","0,38","0,72","0,63","0,67","0,62"
Rio de Janeiro/RJ,PEDRA DO SAL (CAMERINO),"0,03054","0,000305407","0,72","0,51","0,16","0,38","0,35","0,38","0,72","0,63","0,67","0,62"
Rio de Janeiro/RJ,PEDRA DO SAL (TRAVESSA DO SERENO),"0,00654","0,000065396","0,72","0,51","0,16","0,38","0,35","0,38","0,72","0,63","0,67","0,62"
S?o Fid?lis/RJ,SAO BENEDITO,"2950,04067","29,50019338","0,62","0,62","0,53","0,36","0,35","0,41","0,21","0,45","0,83","0,9"
S?o Pedro da Aldeia/RJ,CAVEIRA,"220,52624","1,374370452","0,54","0,61","0,41","0,48","0,35","0,41","0,21","0,61","0,71","0,64"
Valen?a/RJ,SAO JOSE DA SERRA,"476,56889","4,765647187","0,57","0,5","0,42","0,38","0,35","0,4","0,52","0,48","0,69","0,83"
Apia?/SP,MARIA ROSA,"3463,9181","0,109661398","0,1",0,"0,21","0,37","0,35","0,5","0,76","0,53","0,58","0,57"
Barra do Turvo/SP,S?O JO?O,"2654,74163","0,647560624","0,17","0,17","0,3","0,33","0,35","0,36","0,57","0,27","0,55","0,48"
Canan?ia/SP,MANDIRA,"1257,55396","12,57545029","0,25",0,"0,07","0,3","0,35","0,42","0,78",0,"0,61","0,59"
Eldorado/SP,"PEDRO CUBAS (Gleba ""A e  B"")","1919,57765","19,19563999","0,11","0,26","0,28","0,32","0,35","0,43","0,78",0,"0,67","0,7"
Eldorado/SP,PORTO DOS PILOES,"6287,57446","0,251947687","0,11","0,26","0,28","0,32","0,35","0,43","0,78",0,"0,67","0,7"
Eldorado/SP,GALV?O,"2175,28593","3,389428736","0,11","0,26","0,28","0,32","0,35","0,43","0,78",0,"0,67","0,7"
Eldorado/SP,SAO PEDRO,"4687,92616","36,16735001","0,11","0,26","0,28","0,32","0,35","0,43","0,78",0,"0,67","0,7"
